item,itemLabel,lat,long
Q493294,Universitatea Tehnică de Construcții din București,,
Q495258,Universitatea din Bacău,,
Q636060,Universitatea de Științe Agronomice și Medicină Veterinară din București,,
Q653439,Universitatea „Ștefan cel Mare” din Suceava,,
Q851648,Universitatea de Medicină și Farmacie Victor Babeș,,
Q1475400,Universitatea Transilvania din Brașov,,
Q287299,Universitatea de Științe Agricole și Medicină Veterinară „Ion Ionescu de la Brad” din Iași,,
Q296709,Universitatea Petrol-Gaze din Ploiești,,
Q528377,Universitatea de Științe Agricole și Medicină Veterinară Cluj-Napoca,,
Q538452,Universitatea Babeș-Bolyai din Cluj,,
Q636048,Universitatea de Medicină și Farmacie din Craiova,,
Q724027,Universitatea Sapientia,,
Q3551390,Q3551390,,
Q3551473,Q3551473,,
Q989329,Colegiul Național Emil Racoviță,,
Q1132587,Universitatea Spiru Haret,,
Q1320729,Liceul de Informatică „Tiberiu Popoviciu”,,
Q3551535,Universitatea Creștină Dimitrie Cantemir,,
Q1465437,Universitatea din Oradea,,
Q1532212,Universitatea Petru Maior din Târgu Mureș,,
Q1627318,Liceul Johannes Honterus din Brașov,,
Q2496038,Universitatea „George Bacovia”,,
Q494096,Universitatea din Craiova,,
Q4822213,Universitatea Aurel Vlaicu din Arad,,
Q608338,Universitatea din București,,
Q636074,Universitatea din Pitești,,
Q729296,Universitatea Tehnică Cluj-Napoca,,
Q824493,Universitatea de Științe Agricole și Medicină Veterinară a Banatului din Timișoara,,
Q835079,Universitatea de Artă și Design din Cluj-Napoca,,
Q837657,Universitatea de Vest din Timișoara,,
Q976926,Universitatea de Arhitectură și Urbanism Ion Mincu,,
Q3551731,Universitatea de Arte George Enescu din Iași,,
Q1465448,Universitatea Politehnica din București,,
Q1469968,Colegiul Național Áprily Lajos,,
Q1475250,Universitatea Titu Maiorescu,,
Q1619447,Universitatea „Lucian Blaga” din Sibiu,,
Q1729725,Universitatea Româno-Germană din Sibiu,,
Q2031813,Universitatea de Vest „Vasile Goldiș” din Arad,,
Q195081,Universitatea Națională de Artă Teatrală și Cinematografică Ion Luca Caragiale din București,,
Q7865297,Q7865297,,
Q458666,Universitatea Tehnică Gheorghe Asachi din Iași,,
Q636034,Academia Tehnică Militară din București,,
Q768651,Universitatea Creștină Partium,,
Q5044391,Universitatea Națională de Apărare „Carol I”,,
Q794193,Colegiul Național Bethlen din Aiud,,
Q2983884,Colegiul Național „Gheorghe Lazăr” din București,,
Q1141880,Universitatea de Medicină și Farmacie „Iuliu Hațieganu” din Cluj,,
Q1475126,Universitatea „Politehnica” din Timișoara,,
Q1523902,Universitatea „Alexandru Ioan Cuza” din Iași,,
Q1916637,Universitatea de Medicină și Farmacie Carol Davila din București,,
Q1991332,Liceul Teoretic „Nikolaus Lenau” din Timișoara,,
Q2053266,Universitatea 1 Decembrie 1918 din Alba Iulia,,
Q2175735,Universitatea Româno-Americană,,
Q541901,Universitatea de Medicină și Farmacie din Târgu Mureș,,
Q572245,Academia de Muzică Gheorghe Dima,,
Q2822447,Academia Națională de Educație Fizică și Sport,,
Q1165715,Universitatea de Arte din Târgu Mureș,,
Q1266339,Universitatea „Dunărea de Jos”,,
Q1474930,Universitatea Națională de Arte București,,
Q1888128,Universitatea Națională de Muzică București,,
Q742592,Colegiul Național Ferenc Kölcsey,,
Q2779762,Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,,
Q3067523,Colegiul Național „Sfântul Sava” din București,,
Q12724351,Colegiul Național „Radu Negru” din Făgăraș,,
Q12742860,Universitatea Eftimie Murgu,,
Q12742874,Universitatea „Nicolae Titulescu”,,
Q7059097,Universitatea de Nord,,
Q3551393,Universitatea Constantin Brâncuși,,
Q7909203,Universitatea Valahia din Târgoviște,,
Q12719863,Academia Trupelor de Uscat „Nicolae Bălcescu” din Sibiu,,
Q12719874,Academia Navală „Mircea cel Bătrân”,,
Q12742873,Universitatea „Andrei Șaguna” din Constanța,,
Q12732150,Liceul Internațional de Informatică (Constanța),,
Q18352200,Colegiul Național „Andrei Șaguna”,,
Q18539937,Universitatea Ecologică din București,,
Q19572716,Liceul Francez „Anna de Noailles” din București,,
Q12742867,"Universitatea Europeană ""Drăgan"" din Lugoj",,
Q12744219,Școala de Aplicație pentru Forțele Aeriene „Aurel Vlaicu” din Boboc,,
Q18162308,Universitatea „Artifex” București,,
Q12742863,Universitatea Hyperion din București,,
Q12742869,Universitatea Mihai Eminescu,,
Q18537214,Academia de Poliție „Alexandru Ioan Cuza”,,
Q18545178,Colegiul Național „Alexandru Papiu Ilarian” din Târgu Mureș,,
Q18537216,Academia Forțelor Aeriene Henri Coandă,,
Q19710046,Școala Militară de Infanterie și Cavalerie,,
Q18539112,Colegiul Național Unirea din Turnu-Măgurele,,
Q18389454,Colegiul Național Matei Basarab,,
Q26208346,Școala Subofițerilor de la Bistrița,,
Q28726216,Universitatea „Bogdan Vodă”,,
Q5248874,Q5248874,,
Q5286477,Q5286477,,
Q6061851,Q6061851,,
Q6062912,Q6062912,,
Q6845070,Colegiul Național „Mihai Eminescu” din Satu Mare,,
Q7986636,Q7986636,,
Q7886982,Colegiul Național „Unirea” din Brașov,,
Q7916616,Colegiul Național „Vasile Lucaciu”,,
