item,itemLabel,lat,lon
Q976926,Universitatea de Arhitectură și Urbanism Ion Mincu,44.43652778,26.1
Q458666,Universitatea Tehnică Gheorghe Asachi din Iași,47.1544,27.5959
Q1469968,Colegiul Național Áprily Lajos,45.6446,25.5879
Q1991332,Liceul Teoretic „Nikolaus Lenau” din Timișoara,45.75788257,21.22677684
Q19572716,Liceul Francez „Anna de Noailles” din București,44.5216,26.0769
Q493294,Universitatea Tehnică de Construcții din București,44.4635,26.1247
Q495258,Universitatea din Bacău,46.5542,26.9134
Q2983884,Colegiul Național „Gheorghe Lazăr” din București,44.43501667,26.09020278
Q18545178,Colegiul Național „Alexandru Papiu Ilarian” din Târgu Mureș,46.546061,24.568487
Q1165715,Universitatea de Arte din Târgu Mureș,46.542937,24.561706
Q1627318,Liceul Johannes Honterus din Brașov,45.64057,25.58796
Q3551535,Universitatea Creștină Dimitrie Cantemir,44.4146,26.1152
Q1475126,Universitatea „Politehnica” din Timișoara,45.74555556,21.23
Q1465437,Universitatea din Oradea,47.04569444,21.92000278
Q636034,Academia Tehnică Militară din București,44.417,26.08436111
Q1916637,Universitatea de Medicină și Farmacie Carol Davila din București,44.43461111,26.06961111
Q287299,Universitatea de Științe Agricole și Medicină Veterinară „Ion Ionescu de la Brad” din Iași,47.19166667,27.55611111
Q2053266,Universitatea 1 Decembrie 1918 din Alba Iulia,46.069,23.5724
Q1465448,Universitatea Politehnica din București,44.438333333333,26.051388888889
Q608338,Universitatea din București,44.435555555556,26.101116666667
Q653439,Universitatea „Ștefan cel Mare” din Suceava,47.6407,26.2438
Q1475400,Universitatea Transilvania din Brașov,45.65580556,25.58063889
Q494096,Universitatea din Craiova,44.3192,23.8006
Q538452,Universitatea Babeș-Bolyai din Cluj,46.767777777778,23.591111111111
Q541901,Universitatea de Medicină și Farmacie din Târgu Mureș,46.555,24.581111111111
Q18389454,Q18389454,44.4303,26.1135
Q1523902,Universitatea „Alexandru Ioan Cuza” din Iași,47.174230555556,27.571691666667
Q2031813,Universitatea de Vest „Vasile Goldiș” din Arad,46.3719,22.1303
Q3551731,Universitatea de Arte George Enescu din Iași,47.1645,27.5852
Q195081,Universitatea Națională de Artă Teatrală și Cinematografică Ion Luca Caragiale din București,44.437541,26.129853
Q3551393,Universitatea Constantin Brâncuși,45.039707,23.271209
Q837657,Universitatea de Vest din Timișoara,45.7471,21.2315
Q1619447,Universitatea „Lucian Blaga” din Sibiu,45.7905,24.14572222
Q1532212,Universitatea Petru Maior din Târgu Mureș,46.54666667,24.56833333
Q3067523,Colegiul Național „Sfântul Sava” din București,44.441075,26.09103333
Q18352200,Colegiul Național „Andrei Șaguna”,45.63805556,25.58361111
Q729296,Universitatea Tehnică Cluj-Napoca,46.7667,23.5833
Q1888128,Universitatea Națională de Muzică București,44.43916667,26.09027778
Q572245,Academia de Muzică Gheorghe Dima,46.76873,23.593262
Q824493,Universitatea de Științe Agricole și Medicină Veterinară a Banatului din Timișoara,45.782676,21.216778
Q19710046,Școala Militară de Infanterie și Cavalerie,44.444973,26.087341
Q2779762,Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,47.1683,27.5847
Q2779762,Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,47.1685,27.5848
Q636048,Universitatea de Medicină și Farmacie din Craiova,44.3055,23.7942
Q528377,Universitatea de Științe Agricole și Medicină Veterinară Cluj-Napoca,46.7611,23.5711
